Source,Dice,PosID,Target,pool,player,
C42-鴻臚寺 : P269-少卿,柔,C5-會試 : P42-同考,會試同考,5,,repaired
C56-翰林院 : P346-編修,良,C11-大考 : P67-七品以下,七品以下大考,,,
C32-工部 : P192-右侍郎,良,C61-內廷 : P384-上書房,上書房,5,,
C33-刑部 : P200-右侍郎,良,C61-內廷 : P384-上書房,上書房,5,,
C34-兵部 : P207-左侍郎,良,C61-內廷 : P384-上書房,上書房,5,,
C36-戶部 : P224-左侍郎,良,C61-內廷 : P384-上書房,上書房,5,,
C41-國子監 : P258-祭酒,良,C4-鄉試 : P34-主考,鄉試主考,5,,repaired
C43-光祿寺 : P274-少卿,柔,C4-鄉試 : P34-主考,鄉試主考,5,,repaired
C44-太僕寺 : P279-少卿,柔,C4-鄉試 : P34-主考,鄉試主考,5,,repaired
C45-太常寺 : P283-正卿,柔,C4-鄉試 : P34-主考,鄉試主考,5,,repaired
C45-太常寺 : P284-少卿,柔,C4-鄉試 : P34-主考,鄉試主考,5,,repaired
C46-大理寺 : P293-少卿,柔,C4-鄉試 : P34-主考,鄉試主考,5,,repaired
C49-六科給事中 : P306-給事中,柔,C4-鄉試 : P34-主考,鄉試主考,5,,repaired
C56-翰林院 : P341-侍讀學士,柔,C11-大考 : P66-六品以上,六品以上大考,,,repaired
C56-翰林院 : P344-侍講,良,C4-鄉試 : P34-主考,鄉試主考,5,,repaired
C57-內閣 : P355-侍讀學士,柔,C4-鄉試 : P34-主考,鄉試主考,5,,repaired
C22-按察司 : P140-按察使,柔,C12-大計 : P76-予告,予告,,,
C23-布政司 : P146-布政使,柔,C12-大計 : P76-予告,予告,,,
C33-刑部 : P198-尚書,柔,C12-大計 : P76-予告,予告,,,
C36-戶部 : P223-尚書,柔,C12-大計 : P76-予告,予告,,,
C50-都察院 : P307-左都御史,柔,C12-大計 : P76-予告,予告,,,
C32-工部 : P194-員外,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C33-刑部 : P201-郎中,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C34-兵部 : P209-郎中,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C34-兵部 : P210-員外,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C35-禮部 : P217-員外,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C36-戶部 : P226-郎中,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C36-戶部 : P227-員外,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C37-吏部 : P234-郎中,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C37-吏部 : P235-員外,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C37-吏部 : P236-主事,柔,C10-京察 : P65-六品以下,五品以上京察,,,
C48-會同四譯館 : P302-郎中,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C48-會同四譯館 : P303-員外,柔,C10-京察 : P63-五品以上,五品以上京察,,,
C32-工部 : P191-左侍郎,賍,C13-處分 : P78-交部,交部,,,
C32-工部 : P192-右侍郎,賍,C13-處分 : P78-交部,交部,,,
C33-刑部 : P199-左侍郎,賍,C13-處分 : P78-交部,交部,,,
C33-刑部 : P200-右侍郎,賍,C13-處分 : P78-交部,交部,,,
C34-兵部 : P208-右侍郎,賍,C13-處分 : P78-交部,交部,,,
C35-禮部 : P214-左侍郎,賍,C13-處分 : P78-交部,交部,,,
C35-禮部 : P215-右侍郎,賍,C13-處分 : P78-交部,交部,,,
C36-戶部 : P224-左侍郎,賍,C13-處分 : P78-交部,交部,,,
C36-戶部 : P225-右侍郎,賍,C13-處分 : P78-交部,交部,,,
C37-吏部 : P232-左侍郎,賍,C13-處分 : P78-交部,交部,,,
C37-吏部 : P233-右侍郎,賍,C13-處分 : P78-交部,交部,,,
C51-理藩院 : P314/5-左右侍郎,賍,C13-處分 : P78-交部,交部,,,
C3-學院 : P23-教授,賍,C13-處分 : P77-休致,休致,0,,
C3-學院 : P24-學正,賍,C13-處分 : P77-休致,休致,0,,
C3-學院 : P25-教諭,賍,C13-處分 : P77-休致,休致,0,,
C3-學院 : P26-訓導,賍,C13-處分 : P77-休致,休致,0,,
C65-外員內調降用 : P414-巡撫內調,賍,C13-處分 : P77-休致,休致,,,
C65-外員內調降用 : P415-布政內調,賍,C13-處分 : P77-休致,休致,,,
C65-外員內調降用 : P416-按察內調,賍,C13-處分 : P77-休致,休致,,,
C1-出身 : P2-軍功,德,C37-吏部 : P237-候選知縣,候選知縣,0,,
C37-吏部 : P236-主事,賍,C37-吏部 : P237-候選知縣,候選知縣,0,,
C41-國子監 : P267-官學教習,才,C37-吏部 : P237-候選知縣,候選知縣,0,,
C56-翰林院 : P348-庶吉士,賍,C37-吏部 : P237-候選知縣,候選知縣,0,,
C6-殿試 : P50-傳臚,賍,C37-吏部 : P237-候選知縣,候選知縣,0,,
C6-殿試 : P51-二甲,賍,C37-吏部 : P237-候選知縣,候選知縣,0,,
C6-殿試 : P52-三甲,賍,C37-吏部 : P237-候選知縣,候選知縣,0,,
C8-各館謄錄 : P56-舉人謄錄,功,C37-吏部 : P237-候選知縣,候選知縣,0,,
C41-國子監 : P259-司業,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C55-詹事府 : P329-少詹,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C55-詹事府 : P330-左庶子,柔,C11-大考 : P66-六品以上,六品以上大考,,,
