PosID,Source,Dice,PosID2,Target,pool,player ,Remarks
C10-京察 : P63-五品以上,五品以上京察,賍,C13-處分 : P77-休致,休致,0,0,
C10-京察 : P64-編檢,編檢,賍,C13-處分 : P77-休致,休致,0,0,
C10-京察 : P65-六品以下,六品以下京察,賍,C13-處分 : P77-休致,休致,0,0,
C10-京察 : P65-六品以下,六品以下京察,功,C12-大計 : P74-加級,紀錄,0,0,
C10-京察 : P65-六品以下,六品以下京察,良,C12-大計 : P75-紀錄,紀錄,0,0,
C11-大考 : P66-六品以上,六品以上大考,賍,C13-處分 : P77-休致,休致,0,0,
C11-大考 : P67-七品以下,七品以下大考,賍,C13-處分 : P77-休致,休致,0,0,
C11-大考 : P67-七品以下,七品以下大考,良,C5-會試 : P42-同考,會試同考,5,0,
C11-大考 : P67-七品以下,七品以下大考,功,C4-鄉試 : P34-主考,鄉試主考,5,0,
C12-大計 : P68-大計,大計,賍,C13-處分 : P77-休致,休致,0,0,
C12-大計 : P68-大計,大計,德,C12-大計 : P70-內記名,內記名,0,0,
C12-大計 : P68-大計,大計,功,C12-大計 : P74-加級,加級,0,0,
C12-大計 : P68-大計,大計,才,C12-大計 : P69-卓異,卓異,0,0,
C12-大計 : P68-大計,大計,良,C12-大計 : P75-紀錄,紀錄,0,0,
C12-大計 : P70-內記名,內記名,賍,C12-大計 : P70-內記名,內記名,0,0,
C12-大計 : P72-加銜,加銜,賍,C12-大計 : P72-加銜,加銜,0,0,
C12-大計 : P73-議叙,議叙,賍,C12-大計 : P73-議叙,議叙,0,0,
C12-大計 : P76-予告,予告,柔,C13-處分 : P77-休致,休致,0,0,
C12-大計 : P76-予告,予告,賍,C13-處分 : P77-休致,休致,0,0,
C13-處分 : P78-交部,交部,賍,C13-處分 : P79-革留,革留,0,0,
C13-處分 : P79-革留,革留,功,C13-處分 : P78-交部,交部,0,0,
C13-處分 : P79-革留,革留,才,C13-處分 : P78-交部,交部,0,0,
