SourceID,Dice,TargetID,pool,player ,Remarks
C0-局外：P0-白丁,全色1,C2-世爵 : P21-雲騎尉,0,40,
C0-局外：P0-白丁,全色2,C2-世爵 : P20-騎都尉,0,40,
C0-局外：P0-白丁,全色3,C2-世爵 : P19-三等輕車都尉,0,40,
C0-局外：P0-白丁,全色4,C2-世爵 : P16-衍聖公,0,120,
C0-局外：P0-白丁,全色5,C2-世爵 : P18-二等輕車都尉,0,40,
C0-局外：P0-白丁,全色6,C2-世爵 : P17-一等輕車都尉,0,40,
C0-局外：P0-白丁,穿花,C1-出身 : P1-蔭生,0,0,
C0-局外：P0-白丁,紅二對,C1-出身 : P2-軍功,0,0,
C0-局外：P0-白丁,素二對,C1-出身 : P3-貢生,0,0,
C0-局外：P0-白丁,聚三,C1-出身 : P7-筆帖式,0,0,
C0-局外：P0-白丁,聚二,C1-出身 : P8-天文生,0,0,
C0-局外：P0-白丁,聚五,C1-出身 : P5-保舉,0,0,
C0-局外：P0-白丁,聚六,C1-出身 : P6-詞科,0,0,
C0-局外：P0-白丁,聚四,C1-出身 : P4-恩賞,0,0,
C0-局外：P0-白丁,聚幺,C1-出身 : P9-醫士,0,0,
C0-局外：P0-白丁,雙三,C1-出身 : P13-供事,0,0,
C0-局外：P0-白丁,雙二,C1-出身 : P14-吏員,0,0,
C0-局外：P0-白丁,雙五,C1-出身 : P12-官學生,0,0,
C0-局外：P0-白丁,雙六,C1-出身 : P11-監生,0,0,
C0-局外：P0-白丁,雙四,C1-出身 : P10-生員,0,0,
C0-局外：P0-白丁,雙幺,C1-出身 : P15-童生,0,0,
C14-捐班候補 : P82-額外郎中,穿花,C33-刑部 : P201-郎中,0,0,
C14-捐班候補 : P83-額外員外,穿花,C33-刑部 : P202-員外,0,0,
C14-捐班候補 : P84-額外主事,穿花,C33-刑部 : P203-主事,0,0,
C14-捐班候補 : P85-候補道,穿花,C21-各道 : P136-鹽道,0,0,
C14-捐班候補 : P86-候補府,穿花,C19-外府 : P117-煩府,0,0,
C14-捐班候補 : P87-候補州,穿花,C17-直隸州 : P109-知州,0,0,
