SourceID,Luck,TargetID,Target,pool,player,Remarks
C15-縣 : P92-京縣,穿花,C9-軍功 : P60-六品以下,六品以下軍功,0,,
C15-縣 : P93-煩縣,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C15-縣 : P94-簡縣,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C15-縣 : P95-揀發知縣,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C15-縣 : P96-縣丞,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C15-縣 : P97-主簿,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C15-縣 : P98-巡檢,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C16-州 : P103-知州,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C16-州 : P104-州同,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C16-州 : P105-州判,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C16-州 : P106-吏目,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C17-直隸州 : P109-知州,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C17-直隸州 : P110-州同,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C17-直隸州 : P111-州判,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C17-直隸州 : P112-吏目,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C18-直隸廳 : P113-同知,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C18-直隸廳 : P114-經歷,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C18-直隸廳 : P115-司獄,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C18-直隸廳 : P116-照磨,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C19-外府 : P117-煩府,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C19-外府 : P118-簡府,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C19-外府 : P119-同知,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C19-外府 : P120-通判,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C19-外府 : P121-經歷,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C19-外府 : P122-知事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C19-外府 : P123-司獄,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C19-外府 : P124-照磨,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C19-外府 : P125-大使,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C20-京府 : P127-府尹,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C20-京府 : P128-府丞,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C20-京府 : P129-治中,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C20-京府 : P130-四路同知,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C20-京府 : P131-通判,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C20-京府 : P132-經歷,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C20-京府 : P133-照磨,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C21-各道 : P135-糧道,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C21-各道 : P136-鹽道,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C21-各道 : P137-巡道,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C21-各道 : P138-庫大使,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C22-按察司 : P140-按察使,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C22-按察司 : P141-經歷,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C22-按察司 : P142-知事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C22-按察司 : P143-照磨,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C22-按察司 : P144-司獄,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C23-布政司 : P146-布政使,全色1,C63-封典 : P397-男爵,男爵,50,10,
C23-布政司 : P146-布政使,全色2,C63-封典 : P396-子爵,子爵,50,10,
C23-布政司 : P146-布政使,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C23-布政司 : P146-布政使,全色4,C63-封典 : P392-王爵,王爵,120,10,
C23-布政司 : P146-布政使,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C23-布政司 : P146-布政使,全色6,C63-封典 : P393-公爵,公爵,100,10,
C23-布政司 : P146-布政使,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C23-布政司 : P147-經歷,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C23-布政司 : P148-理問,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C23-布政司 : P149-都事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C23-布政司 : P150-庫大使,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C23-布政司 : P151-照磨,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C24-鹽院 : P153-運使,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C24-鹽院 : P154-運同,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C24-鹽院 : P155-運副,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C24-鹽院 : P156-提舉,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C24-鹽院 : P157-運判,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C24-鹽院 : P158-經歷,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C24-鹽院 : P159-大使,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C24-鹽院 : P160-知事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C25-河院 : P161-河督,全色1,C63-封典 : P397-男爵,男爵,50,10,
C25-河院 : P161-河督,全色2,C63-封典 : P396-子爵,子爵,50,10,
C25-河院 : P161-河督,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C25-河院 : P161-河督,全色4,C63-封典 : P392-王爵,王爵,120,10,
C25-河院 : P161-河督,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C25-河院 : P161-河督,全色6,C63-封典 : P393-公爵,公爵,100,10,
C25-河院 : P162-河道,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C25-河院 : P163-同知,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C25-河院 : P164-通判,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C25-河院 : P165-州同,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C25-河院 : P166-州判,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C25-河院 : P167-縣丞,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C25-河院 : P168-主簿,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C25-河院 : P169-巡檢,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C26-漕院 : P171-漕督,全色1,C63-封典 : P397-男爵,男爵,50,10,
C26-漕院 : P171-漕督,全色2,C63-封典 : P396-子爵,子爵,50,10,
C26-漕院 : P171-漕督,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C26-漕院 : P171-漕督,全色4,C63-封典 : P392-王爵,王爵,120,10,
C26-漕院 : P171-漕督,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C26-漕院 : P171-漕督,全色6,C63-封典 : P393-公爵,公爵,100,10,
C26-漕院 : P171-漕督,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C26-漕院 : P172-巡漕御史,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C27-撫院 : P173-巡撫,全色1,C63-封典 : P397-男爵,男爵,50,10,
C27-撫院 : P173-巡撫,全色2,C63-封典 : P396-子爵,子爵,50,10,
C27-撫院 : P173-巡撫,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C27-撫院 : P173-巡撫,全色4,C63-封典 : P392-王爵,王爵,120,10,
C27-撫院 : P173-巡撫,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C27-撫院 : P173-巡撫,全色6,C63-封典 : P393-公爵,公爵,100,10,
C27-撫院 : P173-巡撫,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C28-督院 : P175-總督,全色1,C63-封典 : P397-男爵,男爵,50,10,
C28-督院 : P175-總督,全色2,C63-封典 : P396-子爵,子爵,50,10,
C28-督院 : P175-總督,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C28-督院 : P175-總督,全色4,C63-封典 : P392-王爵,王爵,120,10,
C28-督院 : P175-總督,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C28-督院 : P175-總督,全色6,C63-封典 : P393-公爵,公爵,100,10,
C28-督院 : P175-總督,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C29-兵馬司 : P177-正揮,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C29-兵馬司 : P178-副揮,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C30-倉場 : P180-總督,全色1,C63-封典 : P397-男爵,男爵,50,10,
C30-倉場 : P180-總督,全色2,C63-封典 : P396-子爵,子爵,50,10,
C30-倉場 : P180-總督,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C30-倉場 : P180-總督,全色4,C63-封典 : P392-王爵,王爵,120,10,
C30-倉場 : P180-總督,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C30-倉場 : P180-總督,全色6,C63-封典 : P393-公爵,公爵,100,10,
C30-倉場 : P180-總督,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C31-各部院 : P183-額外主事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C31-各部院 : P184-七品筆帖式,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C31-各部院 : P185-八品筆帖式,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C31-各部院 : P186-九品筆帖式,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C31-各部院 : P187-七品小京官,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C31-各部院 : P188-各部司務,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C32-工部 : P190-尚書,全色1,C63-封典 : P397-男爵,男爵,50,10,
C32-工部 : P190-尚書,全色2,C63-封典 : P396-子爵,子爵,50,10,
C32-工部 : P190-尚書,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C32-工部 : P190-尚書,全色4,C63-封典 : P392-王爵,王爵,120,10,
C32-工部 : P190-尚書,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C32-工部 : P190-尚書,全色6,C63-封典 : P393-公爵,公爵,100,10,
C32-工部 : P190-尚書,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C32-工部 : P191-左侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C32-工部 : P191-左侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C32-工部 : P191-左侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C32-工部 : P191-左侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C32-工部 : P191-左侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C32-工部 : P191-左侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C32-工部 : P191-左侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C32-工部 : P192-右侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C32-工部 : P192-右侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C32-工部 : P192-右侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C32-工部 : P192-右侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C32-工部 : P192-右侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C32-工部 : P192-右侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C32-工部 : P192-右侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C32-工部 : P193-郎中,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C32-工部 : P194-員外,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C32-工部 : P195-主事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C32-工部 : P197-司匠,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C33-刑部 : P198-尚書,全色1,C63-封典 : P397-男爵,男爵,50,10,
C33-刑部 : P198-尚書,全色2,C63-封典 : P396-子爵,子爵,50,10,
C33-刑部 : P198-尚書,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C33-刑部 : P198-尚書,全色4,C63-封典 : P392-王爵,王爵,120,10,
C33-刑部 : P198-尚書,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C33-刑部 : P198-尚書,全色6,C63-封典 : P393-公爵,公爵,100,10,
C33-刑部 : P198-尚書,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C33-刑部 : P199-左侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C33-刑部 : P199-左侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C33-刑部 : P199-左侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C33-刑部 : P199-左侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C33-刑部 : P199-左侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C33-刑部 : P199-左侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C33-刑部 : P199-左侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C33-刑部 : P200-右侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C33-刑部 : P200-右侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C33-刑部 : P200-右侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C33-刑部 : P200-右侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C33-刑部 : P200-右侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C33-刑部 : P200-右侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C33-刑部 : P200-右侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C33-刑部 : P201-郎中,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C33-刑部 : P202-員外,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C33-刑部 : P203-主事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C33-刑部 : P205-司獄,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C34-兵部 : P206-尚書,全色1,C63-封典 : P397-男爵,男爵,50,10,
C34-兵部 : P206-尚書,全色2,C63-封典 : P396-子爵,子爵,50,10,
C34-兵部 : P206-尚書,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C34-兵部 : P206-尚書,全色4,C63-封典 : P392-王爵,王爵,120,10,
C34-兵部 : P206-尚書,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C34-兵部 : P206-尚書,全色6,C63-封典 : P393-公爵,公爵,100,10,
C34-兵部 : P206-尚書,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C34-兵部 : P207-左侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C34-兵部 : P207-左侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C34-兵部 : P207-左侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C34-兵部 : P207-左侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C34-兵部 : P207-左侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C34-兵部 : P207-左侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C34-兵部 : P207-左侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C34-兵部 : P208-右侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C34-兵部 : P208-右侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C34-兵部 : P208-右侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
