SourceID,Source,Dice,TargetID,Target,pool,player,Remarks
C12-大計 : P68-大計,大計,穿花,C12-大計 : P69-卓異,卓異,0,0,
C56-翰林院 : P339-教習庶吉士,教習庶吉士,穿花,C64-特恩 : P407-賜第,賜第,20,0,
C56-翰林院 : P340-掌院學士,掌院學士,穿花,C64-特恩 : P407-賜第,賜第,20,0,
C58-欽差 : P361-軍略大臣,軍略大臣,穿花,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P370-太師,太師,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P370-太師,太師,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P370-太師,太師,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P370-太師,太師,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P370-太師,太師,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P370-太師,太師,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P371-太傅,太傅,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P371-太傅,太傅,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P371-太傅,太傅,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P371-太傅,太傅,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P371-太傅,太傅,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P371-太傅,太傅,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P372-太保,太保,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P372-太保,太保,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P372-太保,太保,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P372-太保,太保,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P372-太保,太保,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P372-太保,太保,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P373-少師,少師,全色1,C63-封典 : P397-男爵,男爵,50,10,
