PosID,Name,Type,Department,Location,virtuous,talented,garland,meritorious,good,weak,corrupt
C9-軍功 : P58-一品二品,一品二品軍功,Performance,軍功,all,,,,,,,,Player_money needs to be added to all 大賀,,
C9-軍功 : P59-三品至五品,三品至五品軍功,Performance,軍功,all,,,,,,,,,,
C9-軍功 : P60-六品以下,六品以下軍功,Performance,軍功,all,,,,,,,,,,
C9-軍功 : P61-巴圖鲁,巴圖鲁,Honorific,軍功,Court,,德/德,,德/才,德,德,,,,
C9-軍功 : P62-藍翎,藍翎,Honorific,軍功,Court,,德/才,,德,才/功,才,,,,
C10-京察 : P63-五品以上,五品以上京察,Performance,京察,Beijing,,,,,,回,,,,
C10-京察 : P64-編檢,編檢,Performance,京察,Beijing,,,,,,回,,,,
C10-京察 : P65-六品以下,六品以下京察,Performance,京察,Beijing,,,,,,回,,,,
C11-大考 : P66-六品以上,六品以上大考,Performance,大考,Beijing,德/德,才/才,才/才,功/功,功,功,,,,
C11-大考 : P67-七品以下,七品以下大考,Performance,大考,Beijing,德/德,才/才/功,才/才/功,,,,,,,
C12-大計 : P68-大計,大計,Performance,大計,provinces,,,,,,回,,,,
C12-大計 : P69-卓異,卓異,Performance,大計,provinces,德/德,德/才,德/才,德/功,德,德,銷去,,,
C12-大計 : P70-內記名,內記名,Performance,大計,provinces,德/德/才,德/德/功,德/德/功,德/德,德/才,德/才,不行,,,
C12-大計 : P71-保陞,保陞,Performance,大計,provinces,德/德/才,德/德/功,德/德/功,德/德,德/才,德/功,,,,
C12-大計 : P72-加銜,加銜,Performance,大計,provinces,德/德/功,德/德,德/德,德/才,德/功,德,不行,,,
C12-大計 : P73-議叙,議叙,Performance,大計,provinces,德/德,德/才,德/才,德/功,德,才,不行,,,
C12-大計 : P74-加級,加級,Performance,大計,provinces,德/才,德/功,德/功,德,才,才,銷去,,,
C12-大計 : P75-紀錄,紀錄,Performance,大計,provinces,德/功,德,德,才,功,功,銷去,,,
C12-大計 : P76-予告,予告,Performance,大計,provinces,恩復,加一級榮歸,復任,加一級榮歸,加一級榮歸,,,"各贈十籌榮歸, add player_money 10",,
C13-處分 : P77-休致,休致,Performance,處分,all,恩復,罰俸復任,復任,罰俸復任,不行,不行,原品休致,add 捐復 PURCHASE,,
C13-處分 : P78-交部,交部,Performance,處分,all,復任,復任,復任,復任,罰俸復任,罰俸復任,,"add 贖罪 PURCHASE （commonly only prevents to be transferred down one to 革留, no restoration of office involved; however 局終交部者須贖罪)",,
C13-處分 : P79-革留,革留,Performance,處分,all,復任,,復任,,罰俸復任,罰俸復任,,add 捐復 PURCHASE ）,,
C13-處分 : P80-嚴議,嚴議,Performance,處分,all,,,復任,贖罪復任,贖罪復任,不行,,,,
C13-處分 : P81-軍臺,軍臺,Performance,處分,all,,,復任,贖罪復任,不行,不行,,add 如願加倍贖罪准復任,,
C37-吏部 : P237-候選知縣,候選知縣,Performance,吏部,Beijing,,,,,,,停選,just means 不行 ignore (Position leading to 候選知縣： Improvement for 軍功，官學教習，舉人謄錄； penalty for  主事， 庶吉士，傳臚，進士二甲，進士三甲),,
C39-太醫院 : P241-院使,院使加級,Performance,太醫院,Court,加二級,加一級,,,,,退一級,adjust manually,,
C40-欽天監 : P247-監正,監正加級,Performance,欽天監,Court,加二級,加一級,,,,,退一級,,,
C63-封典 : P392-王爵,王爵,Honorific,封典,Court,賀,賀,大賀,,,,,,,
C63-封典 : P393-公爵,公爵,Honorific,封典,Court,賀,賀,,,,,,,,
C63-封典 : P394-侯爵,侯爵,Honorific,封典,Court,賀,賀,,,,,,,,
C63-封典 : P395-伯爵,伯爵,Honorific,封典,Court,賀,賀,,,,,,,,
C63-封典 : P396-子爵,子爵,Honorific,封典,Court,賀,,,,,,,,,
C63-封典 : P397-男爵,男爵,Honorific,封典,Court,賀,,,,,,,,,
C64-特恩 : P398-寶石頂,寶石頂,Honorific,特恩,Court,大賀,大賀,原行,大賀,大賀,不行,不行,"特恩:凡遇全色,穿花照原行 (Ignore)",,
C64-特恩 : P399-三眼翎,三眼翎,Honorific,特恩,Court,大賀,大賀,原行,,不行,不行,不行,,,
C64-特恩 : P400-團龍褂,團龍褂,Honorific,特恩,Court,大賀,,原行,不行,不行,不行,不行,,,
C64-特恩 : P401-開氣袍,開氣袍,Honorific,特恩,Court,大賀,,原行,,不行,不行,不行,大賀 add player_money=30,,
C64-特恩 : P402-紫錦墊,紫錦墊,Honorific,特恩,Court,大賀,,原行,,不行,不行,不行,,,
C64-特恩 : P403-雙眼翎,雙眼翎,Honorific,特恩,Court,大賀,,原行,,不行,不行,不行,,,
C64-特恩 : P404-紅絨結帽頂,紅絨結帽頂,Honorific,特恩,Court,原行,原行,原行,下一,不行,不行,不行,下一 already in database (next lower in 特恩),,
C64-特恩 : P405-紫禁城騎馬,紫禁城騎馬,Honorific,特恩,Court,原行,原行,原行,,不行,不行,不行,,,
C64-特恩 : P406-紫韁,紫韁,Honorific,特恩,Court,原行,原行,原行,下一,不行,不行,不行,,,
C64-特恩 : P407-賜第,賜第,Honorific,特恩,Court,原行,原行,原行,下一,不行,不行,不行,,,
C64-特恩 : P408-賜裘,賜裘,Honorific,特恩,Court,原行,原行,原行,才,不行,不行,不行,,,
C64-特恩 : P409-賜宴,賜宴,Honorific,特恩,Court,原行,原行,原行,才,不行,不行,不行,,,
C64-特恩 : P410-珍賞,珍賞,Honorific,特恩,Court,原行,原行,原行,下一,功,功,不行,,,
C64-特恩 : P411-黃馬褂,黃馬褂,Honorific,特恩,Court,大賀,德,原行,才,功,功,不行,,,
C64-特恩 : P412-世襲,世襲,Honorific,特恩,Court,德/德/才,德/德/功,原行,德/才,德/功,德/功,不行,,,
C64-特恩 : P413-花翎,花翎,Honorific,特恩,Court,德/德/德,德/德/才,原行,德/德/功,德/德,德/才,,,,
